"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",14.8919771777661,55.1565450176121,55.1565450176121
"Dim.2",3.66682972616643,13.5811152843544,68.7376603019665
"Dim.3",1.69599671881845,6.28159164190073,75.0192519438673
"Dim.4",1.43405948841376,5.31143486096132,80.3306868048286
"Dim.5",1.29262316174465,4.78758641384595,85.1182732186745
"Dim.6",1,3.70377582232408,88.8220490409986
"Dim.7",0.780489334611609,2.89075752711628,91.7128065681149
"Dim.8",0.69355874052692,2.56878609452514,94.2815926626401
"Dim.9",0.484492516485762,1.79445166865691,96.076044331297
"Dim.10",0.342262716488078,1.2676643742115,97.3437087055085
"Dim.11",0.241696942152377,0.895191290673633,98.2388999961821
"Dim.12",0.15308116895803,0.56697833243986,98.805878328622
"Dim.13",0.124229870162723,0.460119589519153,99.2659979181411
"Dim.14",0.0816647314858648,0.302467858013933,99.568465776155
"Dim.15",0.051430203998392,0.190485946106439,99.7589517222615
"Dim.16",0.0294818606894361,0.10919420281866,99.8681459250801
"Dim.17",0.0258024040411151,0.0955663202453192,99.9637122453255
"Dim.18",0.00834421954677303,0.0309051186135019,99.994617363939
"Dim.19",0.0014532834381042,0.00538263606103433,100
