"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Joueurs_utilisees",-0.460410833804898,0.619807736168259,0.322013646909283,-0.205280398788912,-0.0303472393229441
"Age",0.156195802588767,-0.459596311882281,-0.198888259784734,0.282558983559946,0.653255512180269
"Match.jouee",-6.42654673055594e-16,-1.06298125444191e-15,-9.62392785702834e-16,-2.65695613185288e-15,1.3308873480472e-14
"Match_gagnee",0.872283780652968,-0.306783775370665,-0.0779093390509559,-0.108496667051877,0.0169135529313531
"Match_nul",-0.29612026299698,-0.0253639636237302,-0.764319033052798,0.0208117265885834,-0.295424551214818
"Match_perdu",-0.779441679730933,0.334884500570975,0.440567985317345,0.104463959247949,0.12077756775323
"But_pour",0.85144719449491,-0.333160396031325,0.115954888053652,-0.0520484632201981,-0.154033600490491
"But_contre",-0.730390958138564,0.25548446415734,0.537941034034943,0.100107205656466,-0.0262217937201023
"Tire_tentee",0.882178907073357,-0.0272382400459107,-0.0284823010855012,0.236888073669192,-0.25972674398378
"Action_qui_amene_un_tir",0.912148395322229,-0.028556520615937,-0.0249028915526717,0.215087198127903,-0.213927249812584
"Possession",0.952131814613702,0.229404552502204,0.000585106898590147,0.111586299227398,-0.0402838768384798
"Passe_reeussi",0.94746010818761,0.213513570303014,0.136383001682059,0.10387937304924,0.0761183449687144
"Passe_tentee",0.942104551816107,0.210397132854366,0.134051991027087,0.138491251534212,0.0531372536283385
"Ratio_passe_reussi",0.918257338853149,0.268907467120502,0.111762205863795,0.0336348895523404,0.165092254398058
"Conduite_avant",0.905913159413257,0.197226780860467,0.16748518130773,0.111637497190035,0.0310948715181501
"Passe_avant",0.947209569736186,0.12498457036621,0.03161551630079,0.169812742585381,-0.155814806949625
"Dist_passe",0.956064235841914,0.164131094399843,0.0893979802607204,0.0528374280001167,0.146734281607805
"Dist_passe_avant",0.926802265944313,0.100184835699325,0.0224087412921519,0.158609605806703,0.00709176219356252
"Touches_de_balle",0.925570209028794,0.262245064192582,0.13332465461506,0.164012052423168,0.0288592388766681
"Drible_tentee",0.342197778115326,0.734413302832091,-0.293090735708328,-0.0863071070622057,-0.248612823784074
"Drible_reeussi",0.426755897489705,0.756106978093372,-0.230232298566768,-0.338636189090589,-0.095053726430684
"Ratio_drible",0.383552714061803,0.423655909500616,0.00976526938195892,-0.649582159361081,0.245023158522043
"Tacle",-0.629252316214662,0.54384639268674,-0.0403934434757257,0.473069736901573,-0.201559003077136
"Blocks",-0.84355755485733,0.366661923171656,-0.0225526746890364,0.0890012803460823,-0.0503418256293412
"Interception",-0.752853554195181,0.0125440778624382,0.0947018643638689,0.376455436905332,-0.219797632321271
"Carton_jaune",-0.567319018049369,0.509001589947578,-0.225410672225911,0.215139852909502,0.250940107416764
"Carton_rouge",-0.0756289667992321,0.575891470969384,-0.398536511768868,0.26523857487557,0.50467463380941
